Project Name,Title,Description,Number of Rooms,Bathrooms,Floor Size,Floor Level,Link,Street Address,Locality,Latitude,Longitude
Jamals,"15 BHK Serviced Apartment in Kilpauk Garden Colony, Chennai","Service apartment
This is your chance to a 15 bhk serviced apartment for sale in kilpauk garden colony chennai . Where luxury comes with affordability.

Basic details:
You will love this bright and spacious 15 bedroom apartment with 18 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort.

Furnishings and amenities:
This impeccable house is spread across an area of 7000 sq.Ft. And is an semifurnished unit.
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction.

Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transport

Wait no more and schedule a tour today.
For more details, kindly contact the owner.",,18,7000 sq.ft.,G,https://www.99acres.com/15-bhk-bedroom-serviced-apartment-flat-for-sale-in-kilpauk-garden-colony-chennai-central-7000-sq-ft-spid-H80839457,"Kilpauk Garden Colony, Chennai",Chennai Central,13.085748,80.23004
,Hansa One Oh One,"Check out 3 BHK apartments in Nungambakkam, now available for sale at Hansa One Oh One. This society is RERA approved and TN/29/Building/0001/2022 dated 03/01/2022 is the RERA number. Prices of apartments in this project, vary between Rs. 2.75 - 3.03 Cr. Hansa One Oh One apartments are available in multiples sizes, ranging from 1,606 - 1,772 sq.ft. SUPER area",,,,,https://www.99acres.com/hansa-one-oh-one-nungambakkam-chennai-central-npxid-r384807,Nungambakkam,Chennai Central,13.063167,80.240112
,Sreerosh Cynthia,"Looking for your dream home? Explore 3,4 BHK apartments in Kilpauk, now available in Sreerosh Cynthia. Apartment prices in this housing society vary in the range of Rs. 2.38 - 4.8 Cr. The housing society is RERA-registered with TN/29/Building/0037/2023 registration number. Sreerosh Cynthia apartments are available in multiples sizes, ranging from 1,590 - 3,200 sq.ft. SUPER area",,,,,https://www.99acres.com/sreerosh-cynthia-kilpauk-chennai-central-npxid-r404622,Kilpauk,Chennai Central,13.08588,80.2322
Arunodaya Apartment,"3 BHK Flat in Choolaimedu, Chennai","1.Arunodhaya is a luxurious living place comprising of 52 units spread over 18 grounds. Each unit is spaciously designed for privacy and comfort.
2. Boasts good connectivity to t nagar, anna nagar.
3. Reputed educational institutions, hospitals in the vicinity.
4. Arunodhaya is a masterpiece of architectural grace and beauty, with an open terrace concept in the 3rd and 4th floor.
5. It is located 500 m from kodambakkam metro, 750 m from kodambakkam suburban train station. 
6. The complex is built for natural ventilation, flow of light and complete vastu compliance.",,3,1770 sq.ft.,4,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-arunodaya-apartment-choolaimedu-chennai-central-1770-sq-ft-spid-X81102267,"Choolaimedu, Chennai",Chennai Central,13.062408,80.222766
,"4 BHK Independent Builder Floor in Vepery, Chennai","This 4 bhk builder floor located in vepery, one of the prime locations in chennai central, is available for sale. 4 bedrooms, 4 bathrooms and 1 balcony are present in this builder floor. This is a furnished builder floor. This property spans over built up area of 2400 sq.Ft. It is located on 2nd floor of 3 storey building. It is 0-1 year old ready to move property. This builder floor is owned under freehold contract. You can purchase this builder floor at an attractive price of 2.85 crore.",,4,2400 sq.ft.,2,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-vepery-chennai-central-2400-sq-ft-spid-L80901347,"Vepery, Chennai",Chennai Central,0.0,0.0
,AR Amara Amethyst,"Choose your dream home from the wide variety of 4 BHK apartments in Gopalapuram, available for sale in AR Amara Amethyst. AR Amara Amethyst 's RERA registration number is TN/29/Building/0294/2022. This society offers apartments in the price range of Rs. 9 Cr. AR Amara Amethyst has apartments in multiple configurations, in range of 4,000 sq.ft.",,,,,https://www.99acres.com/ar-amara-amethyst-gopalapuram-chennai-central-npxid-r397174,Gopalapuram,Chennai Central,13.052991,80.255321
,Prop Cilantro,"Prop Cilantro, one of the known housing societes in Chennai North, brings classic yet modern 3 BHK apartments in Mogappair. Apartments in this complex are available in price range of Rs. 1.77 - 1.87 Cr. Here units have different sizes, mostly in range of 1,364 - 1,436 sq.ft. BUILTUP area. The apartments here are Under Construction",,,,,https://www.99acres.com/prop-cilantro-mogappair-chennai-north-npxid-r441191,Mogappair,Chennai North,13.085763,80.241466
VGN Notting Hill,"3 BHK Flat in Nungambakkam, Chennai","The most preferred row in vgn nottinghill society. 100% vastu , 2 balcony, exclusive corridor access",,3,1505 sq.ft.,5,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vgn-notting-hill-nungambakkam-chennai-central-1505-sq-ft-spid-R80670519,"Nungambakkam, Chennai",Chennai Central,13.05967,80.247442
Raintree,"2 BHK Flat in Chepauk, Triplicane, Chennai","Chepauk is a prestigious neighbourhood known for its cricket stadium, historical landmarks and cultural significance. This property is pretty close to the stadium and also to the marina beach. This building is being designed by a skilled architect, ensuring modern and functional living space that caters your needs and preference.",,2,840 sq.ft.,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chepauk-chennai-central-840-sq-ft-r1-spid-W75946303,"Chepauk, Triplicane, Chennai",Chennai Central,13.06117,80.28091
Tuscany Apartments,"2 BHK Flat in Nungambakkam, Chennai","We are the proud owners of this 2 bhk apartment available in tuscany apartments, nungambakkam, chennai central. This it is a and the unit is located on 1st floor and has a super built-Up area of 1651 sq.Ft. . It has 3 bathroom(s) and 1 balcony(s). The ownership is freehold type.",,3,1651 sq.ft.,1,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tuscany-apartments-nungambakkam-chennai-central-1651-sq-ft-spid-S80729233,"Nungambakkam, Chennai",Chennai Central,13.061937,80.240548
,A R The Amara Aradhya,"Spacious 4 BHK apartments in Nungambakkam are available for sale.Check out latest property options at A R The Amara Aradhya housing society. Apartment prices in this housing society vary in the range of Rs. 6.8 - 7.83 Cr. A R The Amara Aradhya has apartments in multiple configurations, in range of 3,262 - 3,758 sq.ft.. A R The Amara Aradhya 's RERA registration number is TN/29/Building/0257/2022dated08/07/2022",,,,,https://www.99acres.com/a-r-the-amara-aradhya-nungambakkam-chennai-central-npxid-r395766,Nungambakkam,Chennai Central,13.061885804979,80.238889711546
DLF Commanders Court,"4 BHK Flat in Egmore, Chennai","Area - 4062 sq ft duplex 4 bhk with double height deck area. Penthouse

 High end designer interiors, furnished with complete wardrobes and kitchen. 
 Dinning furniture and beds included.
 Complete false ceiling with high end architectural lighting and touch panel dimming controls. 
 Yale electronic main door lock included.",,6,4062 sq.ft.,16,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-commanders-court-egmore-chennai-central-4062-sq-ft-spid-G77586701,"Egmore, Chennai",Chennai Central,13.065889804464385,80.25786541956369
Ramaniyam Apartments,"2 BHK Flat in Arumbakkam, Chennai",Very close to anna nagar. 2 kms to sky one mall and movie theaters. Close to shopping area and hospitals. On the highway to bangalore.,,2,1146 sq.ft.,7,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ramaniyam-apartments-arumbakkam-chennai-central-1146-sq-ft-spid-N79704245,"Arumbakkam, Chennai",Chennai Central,13.072177,80.211397
